
="",="(1)",="(2)",="(3)",="(4)"
="",="inspection_score",="inspection_score",="inspection_score",="inspection_score"

="NumberofLocations",="-0.0367***",="-0.0377***",="-0.140***",="-0.0366***"
="",="(0.000783)",="(0.000785)",="(0.00179)",="(0.000785)"

="year",="",="-0.0759***",="",=""
="",="",="(0.00615)",="",=""

="c.NumberofLocations#c.NumberofLocations",="",="",="0.000371***",=""
="",="",="",="(0.00000587)",=""

="0.weekend",="",="",="",="0"
="",="",="",="",="(.)"

="1.weekend",="",="",="",="1.745***"
="",="",="",="",="(0.500)"

="0.weekend#c.NumberofLocations",="",="",="",="0"
="",="",="",="",="(.)"

="1.weekend#c.NumberofLocations",="",="",="",="-0.0177"
="",="",="",="",="(0.0136)"

="_cons",="95.09***",="247.6***",="97.79***",="95.08***"
="",="(0.0478)",="(12.37)",="(0.0618)",="(0.0481)"

="N",="27178",="27178",="27178",="27178"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
