="Models of log total medical expenditure via OLS and QR"

="",="OLS",="Q(0.10)",="Q(0.25)",="Q(0.50)",="Q(0.75)",="Q(0.90)"

="suppins",="586.0",="301.2***",="453.4***",="687.2***",="708.4",="-298.8"
="",="(428.9)",="(55.95)",="(93.87)",="(192.8)",="(504.0)",="(1596.0)"

="totchr",="2528.1***",="493.1***",="782.5***",="1332.8***",="2855.3***",="5646.7***"
="",="(182.7)",="(21.14)",="(35.46)",="(72.84)",="(190.4)",="(603.0)"

="age",="6.711",="9.200*",="16.08*",="35.11*",="87.36*",="89.24"
="",="(34.64)",="(4.330)",="(7.265)",="(14.92)",="(39.01)",="(123.5)"

="female",="-1239.9**",="32.80",="16.06",="-260.6",="-554.6",="-2878.5"
="",="(441.7)",="(55.54)",="(93.18)",="(191.4)",="(500.3)",="(1584.3)"

="white",="2193.2***",="136.6",="338.1",="632.9",="801.7",="2505.5"
="",="(637.6)",="(170.3)",="(285.7)",="(586.8)",="(1533.9)",="(4857.0)"

="N",="2955",="2955",="2955",="2955",="2955",="2955"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
